product_id,from_branch_id,to_branch_id,quantity,movement_date,reason
983,4,7,2,2025-02-23 20:23:00,Inter-branch transfer
574,8,10,2,2025-06-20 14:27:00,Emergency restock
948,4,2,9,2025-03-31 04:02:00,Inter-branch transfer
2011,6,12,5,2025-05-27 14:15:00,Overstock redistribution
1925,6,2,9,2025-08-30 06:25:00,Overstock redistribution
4010,8,3,8,2025-05-04 03:03:00,Stock balancing
3670,5,12,3,2025-12-23 08:23:00,Inter-branch transfer
2129,7,4,5,2025-08-23 02:05:00,Emergency restock
5137,4,5,2,2025-05-15 00:42:00,Inter-branch transfer
1921,4,8,2,2025-05-28 03:11:00,Emergency restock
4497,2,4,7,2025-11-27 02:40:00,Stock balancing
4301,8,10,7,2025-11-18 14:43:00,Demand shift
381,9,12,7,2025-05-23 23:56:00,Overstock redistribution
5053,9,4,10,2025-04-12 06:50:00,Demand shift
4031,2,1,10,2025-11-18 11:59:00,Emergency restock
1482,6,9,9,2025-04-19 05:30:00,Overstock redistribution
3992,12,7,1,2025-03-20 00:46:00,Stock balancing
2302,3,7,4,2025-12-21 16:43:00,Stock balancing
3822,11,9,3,2025-12-02 12:10:00,Stock balancing
2781,2,9,3,2025-06-17 14:47:00,Emergency restock
1098,6,5,7,2025-08-20 15:51:00,Stock balancing
809,10,2,5,2025-06-12 20:23:00,Stock balancing
5643,5,4,4,2025-07-11 13:15:00,Emergency restock
2703,9,2,2,2025-01-25 07:48:00,Stock balancing
5650,10,9,3,2025-05-26 06:14:00,Inter-branch transfer
4683,1,10,1,2025-02-16 14:39:00,Demand shift
26,9,7,3,2025-01-02 03:15:00,Stock balancing
5183,5,8,9,2025-04-29 15:46:00,Overstock redistribution
3980,9,10,1,2025-05-03 00:56:00,Inter-branch transfer
468,4,12,2,2025-05-27 12:23:00,Demand shift
5205,7,4,6,2025-05-18 15:47:00,Demand shift
6074,8,1,5,2025-10-09 18:00:00,Emergency restock
4113,9,7,1,2025-08-12 11:27:00,Overstock redistribution
4178,7,5,3,2025-07-02 17:40:00,Overstock redistribution
2646,7,1,6,2025-10-14 12:10:00,Inter-branch transfer
457,4,6,4,2025-08-18 20:15:00,Inter-branch transfer
5641,4,7,2,2025-05-05 01:22:00,Stock balancing
2272,5,8,3,2025-05-31 04:31:00,Inter-branch transfer
3616,11,3,8,2025-03-03 10:07:00,Overstock redistribution
3400,9,5,9,2025-06-04 03:59:00,Emergency restock
1932,10,4,2,2025-07-12 19:36:00,Demand shift
2876,10,7,6,2025-07-22 14:32:00,Overstock redistribution
2894,8,7,7,2025-03-21 08:20:00,Emergency restock
4797,3,1,2,2025-07-24 13:27:00,Inter-branch transfer
2718,1,9,3,2025-10-20 02:09:00,Overstock redistribution
1692,2,3,10,2025-05-29 05:27:00,Demand shift
1450,3,8,6,2025-09-14 18:47:00,Inter-branch transfer
1710,7,4,4,2025-07-19 03:37:00,Emergency restock
5579,4,3,4,2025-06-02 23:37:00,Stock balancing
1110,9,11,6,2025-02-28 21:41:00,Overstock redistribution
3215,11,2,1,2025-10-05 11:55:00,Overstock redistribution
4259,4,10,7,2025-10-14 15:48:00,Demand shift
5184,11,12,1,2025-12-31 13:53:00,Overstock redistribution
3185,4,8,1,2025-06-07 08:09:00,Emergency restock
1406,3,11,1,2025-06-02 17:03:00,Emergency restock
574,1,7,3,2025-08-10 23:01:00,Overstock redistribution
1310,5,8,1,2025-01-22 14:27:00,Stock balancing
6270,1,2,8,2025-10-23 19:22:00,Stock balancing
1641,11,8,3,2025-09-21 04:50:00,Stock balancing
5389,8,11,4,2025-08-18 10:13:00,Demand shift
4297,3,2,3,2025-11-06 08:08:00,Stock balancing
2033,6,2,9,2025-08-15 01:20:00,Emergency restock
5503,12,7,5,2025-02-14 09:46:00,Stock balancing
1639,3,6,1,2025-01-27 11:51:00,Inter-branch transfer
1366,5,7,10,2025-11-08 02:44:00,Overstock redistribution
5684,4,9,10,2025-11-23 06:00:00,Demand shift
5732,8,1,8,2025-05-05 03:47:00,Emergency restock
2477,1,11,6,2025-08-09 16:33:00,Inter-branch transfer
3910,6,8,4,2025-11-29 09:48:00,Inter-branch transfer
5557,6,10,2,2025-05-16 23:05:00,Demand shift
2695,10,1,1,2025-10-15 04:57:00,Emergency restock
5005,10,12,7,2025-02-13 05:05:00,Emergency restock
3384,6,3,1,2025-01-02 02:19:00,Emergency restock
1540,1,9,7,2025-06-29 10:29:00,Overstock redistribution
5248,2,4,10,2025-07-31 22:36:00,Emergency restock
1517,8,4,6,2025-09-15 08:50:00,Emergency restock
5287,8,6,1,2025-11-28 19:21:00,Demand shift
5559,5,2,7,2025-01-05 00:24:00,Inter-branch transfer
5533,9,6,5,2025-06-21 17:46:00,Stock balancing
5017,4,2,1,2025-11-14 12:54:00,Demand shift
5776,1,2,6,2025-08-06 09:02:00,Demand shift
4618,2,4,9,2025-11-20 08:58:00,Emergency restock
5051,5,7,7,2025-08-30 19:42:00,Emergency restock
98,3,7,6,2025-01-27 13:07:00,Overstock redistribution
1247,12,11,6,2025-06-08 19:08:00,Inter-branch transfer
4936,1,6,4,2025-08-06 01:45:00,Demand shift
3077,10,4,10,2025-10-20 16:01:00,Inter-branch transfer
5751,6,10,1,2025-09-22 08:27:00,Stock balancing
4993,5,1,4,2025-10-20 19:39:00,Emergency restock
4097,5,2,6,2025-02-06 02:50:00,Emergency restock
451,3,12,4,2025-03-05 07:16:00,Stock balancing
4333,6,10,3,2025-11-16 05:57:00,Stock balancing
3314,11,3,6,2025-09-05 00:47:00,Overstock redistribution
2525,7,12,7,2025-07-05 07:32:00,Stock balancing
4661,10,12,7,2025-12-17 15:33:00,Emergency restock
2916,9,5,10,2025-01-23 03:36:00,Stock balancing
3760,9,8,10,2025-01-20 23:26:00,Emergency restock
6016,8,3,8,2025-12-22 18:07:00,Inter-branch transfer
1410,11,3,9,2025-10-08 11:21:00,Inter-branch transfer
1619,1,4,4,2025-07-06 12:27:00,Overstock redistribution
1945,4,10,6,2025-03-01 16:40:00,Stock balancing
5296,7,4,1,2025-11-21 15:47:00,Stock balancing
5013,9,4,3,2025-03-16 22:06:00,Stock balancing
680,10,4,8,2025-10-25 03:45:00,Inter-branch transfer
4025,3,12,8,2025-12-26 15:24:00,Stock balancing
854,10,5,5,2025-09-22 23:10:00,Inter-branch transfer
1609,4,5,4,2025-09-08 13:18:00,Inter-branch transfer
5630,11,2,3,2025-05-22 09:44:00,Overstock redistribution
5668,5,6,5,2025-06-08 00:45:00,Emergency restock
677,1,8,6,2025-11-16 22:01:00,Demand shift
5901,3,10,1,2025-07-03 13:03:00,Inter-branch transfer
4133,10,3,9,2025-04-17 09:38:00,Emergency restock
1319,12,1,2,2025-12-12 16:33:00,Overstock redistribution
1453,8,9,2,2025-10-21 11:26:00,Demand shift
417,6,8,10,2025-11-13 01:10:00,Demand shift
5429,12,2,1,2025-04-28 16:37:00,Inter-branch transfer
5546,5,10,1,2025-03-14 01:29:00,Overstock redistribution
3349,10,3,5,2025-06-26 03:39:00,Inter-branch transfer
4959,6,7,4,2025-06-12 10:14:00,Overstock redistribution
3291,3,11,6,2025-07-09 19:27:00,Demand shift
4678,1,11,5,2025-10-17 06:06:00,Overstock redistribution
1682,7,8,1,2025-09-20 02:58:00,Inter-branch transfer
2466,11,5,10,2025-04-13 18:04:00,Demand shift
4403,10,11,9,2025-01-04 22:50:00,Stock balancing
5697,6,10,3,2025-02-04 01:55:00,Overstock redistribution
4702,6,9,3,2025-04-03 12:28:00,Inter-branch transfer
5965,4,12,6,2025-04-03 03:37:00,Stock balancing
1507,10,5,6,2025-08-25 11:08:00,Emergency restock
1225,6,9,9,2025-08-18 07:53:00,Inter-branch transfer
4757,3,1,5,2025-02-01 06:06:00,Emergency restock
5753,5,7,1,2025-05-10 14:04:00,Inter-branch transfer
3614,8,3,5,2025-06-27 04:09:00,Demand shift
4964,2,9,4,2025-05-16 23:40:00,Stock balancing
3928,6,7,3,2025-08-01 05:58:00,Demand shift
3470,5,4,4,2025-01-13 01:04:00,Inter-branch transfer
2533,11,6,5,2025-09-12 16:19:00,Stock balancing
4311,9,10,10,2025-11-17 06:26:00,Stock balancing
387,9,5,5,2025-03-10 14:29:00,Emergency restock
2585,2,5,8,2025-05-16 10:27:00,Demand shift
482,12,2,6,2025-04-13 14:35:00,Inter-branch transfer
2224,4,12,1,2025-10-22 20:23:00,Stock balancing
2710,7,10,6,2025-10-17 19:28:00,Emergency restock
202,7,9,3,2025-06-12 17:49:00,Inter-branch transfer
3455,6,8,6,2025-05-16 04:03:00,Stock balancing
4453,9,8,2,2025-07-02 14:40:00,Emergency restock
291,10,1,1,2025-10-15 04:57:00,Emergency restock
2170,1,10,9,2025-12-11 03:10:00,Demand shift
165,5,3,6,2025-10-13 21:39:00,Demand shift
5066,1,11,4,2025-08-20 13:53:00,Inter-branch transfer
1129,3,1,5,2025-03-02 19:09:00,Stock balancing
518,2,11,9,2025-03-30 01:05:00,Demand shift
2884,8,3,6,2025-08-03 00:58:00,Overstock redistribution
4054,3,9,7,2025-09-01 07:06:00,Overstock redistribution
2819,5,8,10,2025-08-17 14:52:00,Stock balancing
4221,10,8,8,2025-11-30 06:50:00,Demand shift
5908,10,5,2,2025-04-05 08:54:00,Inter-branch transfer
5598,9,1,4,2025-11-10 06:22:00,Overstock redistribution
3537,11,3,4,2025-08-12 15:16:00,Overstock redistribution
2050,9,2,3,2025-01-12 03:58:00,Stock balancing
2440,3,6,1,2025-07-15 04:09:00,Stock balancing
5706,12,3,5,2025-08-22 12:10:00,Inter-branch transfer
5692,5,8,10,2025-04-06 06:10:00,Demand shift
2897,7,12,9,2025-05-14 01:49:00,Emergency restock
2464,2,5,9,2025-08-13 11:21:00,Demand shift
2555,7,11,3,2025-03-11 08:00:00,Demand shift
5070,1,2,4,2025-01-07 16:57:00,Overstock redistribution
2709,9,7,5,2025-06-21 05:18:00,Overstock redistribution
5330,2,11,2,2025-12-23 02:54:00,Inter-branch transfer
4013,1,4,1,2025-07-18 18:50:00,Inter-branch transfer
4443,10,2,2,2025-07-13 06:40:00,Overstock redistribution
1439,8,10,3,2025-12-12 11:48:00,Inter-branch transfer
3321,3,11,2,2025-09-13 08:25:00,Emergency restock
4829,10,9,6,2025-06-25 09:58:00,Emergency restock
4882,1,11,5,2025-02-03 07:38:00,Emergency restock
2828,12,5,4,2025-01-21 14:18:00,Stock balancing
467,3,5,3,2025-05-04 20:14:00,Inter-branch transfer
5337,6,1,1,2025-07-19 21:58:00,Overstock redistribution
3815,1,8,7,2025-11-11 09:24:00,Emergency restock
4330,6,5,7,2025-08-14 13:54:00,Emergency restock
4993,8,6,8,2025-11-19 21:48:00,Demand shift
1596,4,9,10,2025-12-16 02:54:00,Emergency restock
4057,5,8,7,2025-07-11 21:10:00,Overstock redistribution
2508,3,12,9,2025-05-13 16:47:00,Demand shift
3860,6,7,7,2025-10-04 19:39:00,Overstock redistribution
3612,9,7,5,2025-03-11 07:54:00,Stock balancing
1145,8,7,3,2025-01-11 17:58:00,Emergency restock
800,11,10,7,2025-06-19 22:01:00,Overstock redistribution
6175,4,8,3,2025-01-16 09:11:00,Overstock redistribution
1552,9,5,5,2025-09-13 07:25:00,Emergency restock
2739,3,12,6,2025-11-30 09:06:00,Stock balancing
3458,11,3,4,2025-10-06 18:56:00,Stock balancing
890,4,8,4,2025-10-22 08:59:00,Demand shift
3587,4,2,10,2025-04-08 16:17:00,Demand shift
5899,4,5,5,2025-11-30 06:42:00,Stock balancing
228,8,9,6,2025-02-10 22:37:00,Stock balancing
2631,11,6,10,2025-06-03 06:39:00,Inter-branch transfer
2357,4,2,5,2025-09-20 01:39:00,Emergency restock
2688,6,11,6,2025-02-05 20:35:00,Stock balancing
3563,10,6,4,2025-03-29 04:16:00,Stock balancing
4839,10,7,8,2025-07-09 10:08:00,Emergency restock
424,2,3,6,2025-07-12 02:26:00,Inter-branch transfer
3753,3,10,5,2025-03-16 17:48:00,Stock balancing
1817,3,8,10,2025-04-18 08:39:00,Demand shift
4879,1,9,2,2025-06-30 00:35:00,Demand shift
2581,12,2,5,2025-01-04 22:50:00,Overstock redistribution
5225,9,2,5,2025-01-25 10:06:00,Overstock redistribution
40,1,3,2,2025-08-25 17:23:00,Emergency restock
3457,10,12,6,2025-11-08 10:41:00,Inter-branch transfer
4309,2,7,3,2025-12-12 15:11:00,Inter-branch transfer
1707,3,11,1,2025-01-22 20:06:00,Inter-branch transfer
3861,6,12,6,2025-06-30 14:55:00,Demand shift
5955,2,12,2,2025-01-16 10:14:00,Demand shift
117,10,5,3,2025-10-24 00:34:00,Stock balancing
6007,3,6,9,2025-03-26 05:36:00,Demand shift
434,5,2,4,2025-09-11 17:46:00,Overstock redistribution
4024,12,5,8,2025-02-24 04:31:00,Emergency restock
4872,10,1,3,2025-03-22 09:00:00,Emergency restock
3672,2,10,8,2025-01-23 11:06:00,Demand shift
2842,5,11,10,2025-08-08 17:10:00,Demand shift
514,5,4,7,2025-04-25 21:55:00,Overstock redistribution
4672,5,9,4,2025-03-20 09:15:00,Inter-branch transfer
3384,4,8,6,2025-11-13 23:13:00,Overstock redistribution
456,8,6,1,2025-11-11 15:10:00,Inter-branch transfer
4265,1,2,3,2025-07-30 14:08:00,Demand shift
1209,2,5,9,2025-01-28 20:56:00,Demand shift
2835,2,1,1,2025-08-27 07:57:00,Inter-branch transfer
1090,6,9,2,2025-10-22 09:46:00,Emergency restock
1073,10,1,5,2025-02-03 23:20:00,Emergency restock
6150,8,3,4,2025-05-18 19:12:00,Inter-branch transfer
4251,1,11,8,2025-01-17 09:00:00,Emergency restock
2675,9,10,3,2025-11-09 22:33:00,Demand shift
67,11,9,3,2025-01-21 09:19:00,Inter-branch transfer
2082,6,10,10,2025-12-28 13:16:00,Emergency restock
5415,5,7,1,2025-05-07 06:08:00,Emergency restock
1746,2,12,6,2025-05-16 17:22:00,Emergency restock
4889,2,3,9,2025-01-28 02:56:00,Demand shift
2908,12,3,7,2025-11-08 13:34:00,Inter-branch transfer
5954,7,3,5,2025-04-13 07:30:00,Emergency restock
798,7,11,10,2025-09-18 20:28:00,Overstock redistribution
264,11,1,8,2025-05-28 04:53:00,Stock balancing
194,7,10,10,2025-01-22 23:19:00,Emergency restock
4742,7,8,2,2025-01-25 18:11:00,Stock balancing
5072,12,6,8,2025-11-16 13:47:00,Stock balancing
2434,5,7,9,2025-12-20 06:11:00,Inter-branch transfer
1367,8,4,4,2025-02-27 15:15:00,Overstock redistribution
3908,6,7,2,2025-07-08 17:27:00,Demand shift
968,9,11,9,2025-09-22 01:56:00,Inter-branch transfer
1884,6,10,2,2025-02-04 21:01:00,Overstock redistribution
4095,3,12,2,2025-06-29 15:39:00,Inter-branch transfer
3035,5,7,2,2025-06-12 10:45:00,Stock balancing
3757,8,1,9,2025-07-27 14:10:00,Inter-branch transfer
4156,9,3,7,2025-02-12 20:50:00,Emergency restock
6188,1,10,8,2025-09-15 06:19:00,Inter-branch transfer
2597,7,8,8,2025-07-02 17:09:00,Overstock redistribution
3082,1,9,8,2025-05-28 18:13:00,Overstock redistribution
4614,2,3,7,2025-02-22 05:09:00,Demand shift
564,3,6,7,2025-11-17 12:08:00,Overstock redistribution
2648,6,3,4,2025-01-26 08:11:00,Stock balancing
2515,3,4,3,2025-11-08 02:55:00,Overstock redistribution
3492,5,8,5,2025-04-14 03:39:00,Emergency restock
1353,3,1,3,2025-03-24 14:30:00,Emergency restock
4098,11,4,9,2025-10-15 03:47:00,Demand shift
91,3,8,7,2025-04-05 14:34:00,Overstock redistribution
812,10,7,3,2025-07-13 18:40:00,Emergency restock
6079,3,8,1,2025-03-16 12:09:00,Overstock redistribution
968,5,11,5,2025-02-13 09:45:00,Stock balancing
5926,3,11,8,2025-07-19 22:41:00,Overstock redistribution
3170,8,12,2,2025-12-09 04:16:00,Overstock redistribution
5359,9,3,10,2025-01-17 07:49:00,Overstock redistribution
5962,7,2,1,2025-03-24 11:02:00,Demand shift
5679,1,3,7,2025-10-08 14:26:00,Stock balancing
2139,6,10,5,2025-06-01 02:49:00,Inter-branch transfer
6287,10,5,2,2025-08-20 19:39:00,Inter-branch transfer
4657,6,11,1,2025-07-15 07:03:00,Demand shift
5359,2,11,5,2025-02-19 21:15:00,Overstock redistribution
440,7,10,7,2025-01-09 17:11:00,Stock balancing
2360,7,2,2,2025-08-10 05:07:00,Emergency restock
3814,7,5,1,2025-06-21 01:02:00,Stock balancing
142,4,12,7,2025-05-30 09:47:00,Emergency restock
4044,4,2,9,2025-05-30 09:14:00,Stock balancing
1211,6,1,8,2025-07-25 15:42:00,Overstock redistribution
4054,2,3,7,2025-04-05 13:17:00,Inter-branch transfer
2643,10,2,8,2025-10-03 22:51:00,Demand shift
1970,11,1,5,2025-05-08 11:01:00,Stock balancing
2662,7,1,8,2025-02-21 11:59:00,Overstock redistribution
3336,11,2,7,2025-05-23 12:20:00,Stock balancing
1612,3,5,6,2025-06-03 01:37:00,Overstock redistribution
2655,6,8,6,2025-02-17 02:42:00,Overstock redistribution
4939,9,11,5,2025-02-21 17:09:00,Inter-branch transfer
1627,9,1,1,2025-10-14 13:23:00,Demand shift
4492,12,1,1,2025-09-25 09:09:00,Demand shift
3769,10,3,3,2025-03-27 06:19:00,Emergency restock
3668,4,8,1,2025-03-12 15:21:00,Demand shift
6157,10,11,9,2025-06-06 10:22:00,Inter-branch transfer
4332,6,11,7,2025-09-25 23:19:00,Stock balancing
2948,9,11,2,2025-01-18 07:14:00,Overstock redistribution
4348,4,12,6,2025-10-29 04:02:00,Emergency restock
2719,1,5,4,2025-01-03 21:40:00,Overstock redistribution
1510,12,9,10,2025-12-21 12:08:00,Overstock redistribution
5265,5,10,4,2025-08-15 02:05:00,Overstock redistribution
4245,7,11,1,2025-08-12 03:29:00,Emergency restock
323,7,10,7,2025-01-18 21:33:00,Inter-branch transfer
5104,9,10,10,2025-09-22 12:06:00,Overstock redistribution
574,1,6,3,2025-07-02 23:20:00,Inter-branch transfer
2354,4,8,3,2025-09-21 07:48:00,Overstock redistribution
189,4,3,6,2025-11-08 11:19:00,Emergency restock
1173,3,12,7,2025-10-12 23:06:00,Stock balancing
4608,3,12,3,2025-06-13 02:27:00,Stock balancing
5221,12,1,7,2025-02-02 21:52:00,Stock balancing
1158,3,1,4,2025-03-07 10:51:00,Emergency restock
2117,5,6,10,2025-05-23 10:08:00,Stock balancing
743,2,10,1,2025-04-10 13:56:00,Inter-branch transfer
3287,9,4,6,2025-01-21 05:05:00,Inter-branch transfer
2461,9,12,4,2025-06-09 23:56:00,Demand shift
4301,12,9,10,2025-07-21 04:36:00,Demand shift
784,10,3,3,2025-11-25 11:34:00,Emergency restock
2965,11,1,1,2025-12-03 18:56:00,Emergency restock
5507,3,4,6,2025-04-12 01:47:00,Overstock redistribution
2647,5,8,10,2025-11-21 12:16:00,Demand shift
2554,7,2,10,2025-09-16 06:58:00,Stock balancing
2793,3,8,6,2025-03-23 11:42:00,Demand shift
