po_id,product_id,quantity,cost_price
2885,553,206,316.06
363,208,137,222.78
785,2425,42,15926.78
1206,4497,117,2547.26
2378,824,113,1604.74
1709,2541,147,9309.77
2912,4322,276,1422.78
2974,480,134,439.47
2298,4486,128,3104.83
449,900,77,48.84
402,5675,179,4578.31
2693,4892,167,129.25
1390,5758,128,367.89
83,2062,144,1890.86
688,3539,299,1582.22
1125,1419,92,219.48
813,232,274,231.83
1575,3975,254,12079.43
34,2381,189,62672.09
2339,937,256,188.16
318,5956,179,6732.25
1963,5878,262,3760.24
2393,4380,195,6075.32
613,1455,169,63.46
2847,6147,214,236.58
367,1173,270,42.24
2725,5582,32,43.32
1135,5225,72,3071.0
368,6130,211,836.41
1079,1450,49,52.12
1837,3615,115,1328.35
2051,4243,242,60.19
2910,5908,38,300.65
2376,2082,268,1998.42
500,4043,99,324.62
2296,6094,79,910.55
304,3807,20,5776.6
2438,949,119,160.17
2833,4376,264,2067.16
2020,3356,195,2593.95
829,235,161,120.85
751,2019,90,95.68
45,704,252,2504.6
268,1717,152,84470.59
2478,3915,280,4649.22
179,5592,218,77.96
1586,6252,95,1124.59
2426,4968,27,114.59
86,3041,194,110.62
2807,800,60,376.66
2122,1411,189,225.64
569,4454,29,1532.35
1490,4941,42,436.1
1136,954,210,27.21
292,2674,82,38401.49
368,1147,166,45.08
806,4306,66,3926.18
1944,4799,247,2126.79
27,2250,207,194.51
464,3617,119,1905.99
1931,2659,151,28175.2
2919,4295,34,1409.71
2524,6232,217,4852.78
362,3278,40,264.97
1372,2069,197,985.46
1046,4892,67,130.28
2718,64,111,183.4
2072,65,202,141.53
547,171,175,128.45
634,6043,249,1792.2
1684,1017,156,25.85
1238,3926,284,20995.35
2345,5834,158,546.12
2087,4142,222,2203.51
1677,1651,34,207.87
329,5578,27,74.18
2389,4094,44,466.46
2180,5593,98,73.89
2172,6100,112,231.05
226,156,111,93.88
89,112,178,52.23
1350,4462,93,838.33
2092,2030,228,64.18
1466,5051,78,28576.91
818,1637,206,65.98
1404,5241,20,45.81
2060,2956,281,34984.95
1365,3412,113,1493.96
1934,2880,266,4883.58
1589,3122,207,73.56
1557,3999,268,26875.29
109,1020,132,21.53
1904,4639,296,1960.87
2730,924,151,285.68
624,2107,130,2030.08
2340,2421,139,44931.38
854,1699,94,98321.22
2692,2357,296,1969.63
462,2088,168,863.65
2600,5139,79,11157.5
1902,4700,223,10.28
1620,315,121,74.68
661,1228,141,134.12
2615,2648,300,19477.83
764,3053,209,160.12
2393,1369,153,43.98
2939,4567,69,736.19
1612,2446,214,44265.54
1138,2198,232,175.37
2935,1109,287,126.61
1978,3407,220,1055.21
2060,5683,45,2148.36
1172,1953,48,266.59
786,4833,150,2934.85
1084,1087,59,115.42
892,4616,194,115.21
190,598,113,1160.93
2540,666,174,2395.73
759,6124,206,124.93
329,4245,218,3804.67
2158,5612,33,74.24
1536,4613,73,128.21
2382,3383,156,2336.96
167,2825,54,7480.62
2658,5176,97,958.99
1567,5156,197,31757.12
1380,5554,156,54.31
601,1194,73,106.36
2778,279,42,144.64
2081,3421,289,3620.26
1263,3031,253,323.94
603,5400,172,426.39
1220,4340,213,6408.99
291,4564,87,170.24
1351,5934,167,379.07
2075,5449,20,80.5
1028,4831,172,7252.58
1760,2471,243,47641.27
2887,914,277,92.69
1624,374,283,118.02
1541,6265,98,813.87
1329,1412,106,518.31
2650,5110,118,50598.59
2658,3222,171,40.39
977,1694,176,62299.84
2695,6032,23,7966.94
720,4816,80,13465.81
1364,445,108,91.74
2334,4681,172,616.75
101,487,147,219.12
2222,3740,84,2376.79
481,3505,199,1995.85
1512,2566,81,2521.23
1174,183,61,77.14
2346,5751,84,349.11
695,2873,175,1433.06
380,2876,292,1010.57
2629,1813,222,170.84
494,1674,245,73.41
2898,5829,68,558.94
1572,5083,237,131828.09
997,6167,172,104.46
1200,1295,262,85.97
339,2741,78,1150.93
1842,320,138,85.78
2250,5565,238,155.59
2157,1588,240,449.85
423,154,115,193.68
2233,2021,62,88.5
156,160,186,112.15
1352,4329,227,4673.61
2268,536,151,1362.39
2142,795,220,556.52
2654,4237,141,241.92
935,2215,263,67.92
2310,2936,145,8005.85
73,4152,267,1927.3
882,4100,94,388.61
832,2914,257,2399.09
1118,5433,251,2420.41
2243,475,75,45.02
1996,78,204,217.84
401,5860,85,2882.2
450,1379,74,180.79
659,781,53,2065.09
2017,1678,291,187.16
1782,1227,160,85.09
2478,2107,113,1863.2
241,1660,140,183.29
1946,5426,233,291.72
1491,5847,76,1164.54
900,5988,237,1155.0
193,3548,158,886.59
137,4993,32,1929.96
1109,3519,67,1191.41
1422,1147,153,40.39
87,2844,69,56874.66
1144,1248,258,52.1
1038,2727,169,15783.73
1219,5957,81,6762.32
355,1250,67,129.2
1364,4755,58,291.6
160,2405,53,55438.67
2172,3479,243,1353.64
2049,5096,91,15550.52
281,1489,295,246.79
1231,3854,189,3624.53
826,2254,246,356.45
775,6053,156,872.48
1751,5050,252,25522.59
2942,2578,64,83665.52
423,5825,140,243.42
2929,3737,62,2270.31
1059,5112,183,108138.18
2141,1855,21,48.84
639,76,285,82.76
658,1235,287,196.22
288,6217,55,207.77
2273,1495,193,82.0
1288,2447,156,52021.23
2576,4621,93,15.23
610,6156,130,125.74
173,5972,234,5938.93
1561,4479,40,2817.66
613,3774,33,4032.83
856,1643,126,159.66
795,5955,58,5103.21
827,234,292,301.19
1562,2549,193,79773.72
2852,5558,63,38.55
1384,3057,121,378.78
1912,4735,22,210.99
1142,1676,117,246.88
760,2671,223,20948.03
2828,1336,23,39.04
2600,4264,277,29.64
2349,5066,46,15011.23
1986,5241,175,43.36
1395,5692,137,215.87
2881,5975,139,1345.89
1280,6077,224,3397.52
1788,663,22,2981.15
73,4268,74,32.45
2148,3677,280,7119.95
2328,2309,34,19956.79
2353,5746,215,245.86
1748,4172,128,1708.82
2667,3868,232,4056.05
2877,1268,82,64.56
302,4037,285,259.31
2524,4785,65,25.82
1689,5585,43,117.27
29,2882,59,2849.1
1051,1517,170,98.23
683,5824,41,122.97
1469,1670,44,177.55
1225,53,38,87.39
2090,3709,78,1465.49
44,6116,206,283.52
2769,4684,179,189.02
1824,2456,113,32397.46
2471,4293,227,1387.48
2443,3949,277,7487.15
2405,5752,50,1586.33
2131,5513,202,621.15
676,6144,204,254.28
1966,2894,97,2848.5
2433,2257,210,480.62
2792,3703,247,1273.8
1723,5943,295,1620.59
547,3825,132,5222.04
2927,1142,121,50.5
2808,6134,219,714.07
629,1020,128,23.83
2334,350,181,81.16
586,2974,169,50889.45
189,3849,197,4491.04
1880,1761,128,135.52
259,2328,125,31407.18
1133,2304,159,48969.29
2582,5590,283,47.71
1779,4303,35,1012.34
521,5295,184,182.1
1329,4451,30,2220.92
455,5360,293,1112.21
1368,3932,61,12783.44
2433,2488,48,79027.26
2559,4896,137,244.84
226,118,78,371.89
2961,5573,65,132.64
245,3280,73,163.77
1836,520,267,456.32
2961,540,104,18132.7
758,1809,21,1121.23
2183,3867,175,3335.99
2739,4526,175,290.7
298,1299,272,87.52
160,4206,278,2709.96
414,3568,30,1085.84
1687,4085,230,447.43
2851,2463,247,52417.15
770,3308,236,47.42
55,3684,157,2299.95
1315,5174,266,1822.93
553,883,92,1547.85
1313,3930,137,41188.44
1608,2361,53,641.71
2403,4063,164,323.13
704,4319,167,2970.03
811,5706,231,825.49
1115,5563,166,42.71
2877,992,58,97.63
1645,3866,206,2571.12
1922,5343,104,3383.3
508,2540,246,7758.04
602,3005,255,486.79
2392,1040,216,42.8
2797,553,225,311.89
1367,5883,21,2503.8
688,6030,200,6019.83
663,1348,22,131.77
1199,1095,183,62.59
2358,5002,95,2331.61
2970,5526,52,1245.64
235,2873,93,1508.87
2211,124,228,166.65
135,775,153,2585.89
132,6023,271,282.85
1628,3973,196,8611.07
2372,788,190,941.03
2269,5778,285,258.09
26,3914,41,3358.36
1305,3676,294,5800.75
1476,502,138,490.07
530,5750,290,271.97
2239,3718,62,4717.02
57,5939,126,1361.46
1760,2422,212,54324.66
584,4163,128,2464.47
1963,1222,213,201.07
2137,3290,139,22.61
713,1252,45,177.52
1268,2099,147,382.95
1024,5809,26,75.78
1313,1998,279,33558.18
606,3192,282,1967.03
1904,954,229,26.92
2319,5425,120,229.32
2219,1016,138,24.0
2777,5506,106,3714.41
514,3418,69,3205.83
1567,3956,55,13876.75
949,2206,140,315.74
2052,4707,180,37.35
2691,5669,230,619.34
1250,5455,56,50.66
560,2036,54,102.76
2875,659,172,515.63
2177,1000,230,83.42
808,3819,38,2918.47
1566,4627,217,40.55
1046,458,202,223.31
1209,4296,244,1788.75
2333,809,61,75.55
1696,1820,191,337.79
1791,4311,47,1998.72
893,825,168,1614.97
1974,1750,258,111.72
558,6016,63,192.32
1824,3822,262,4886.66
1266,4700,279,11.96
2580,3939,85,27332.75
287,2117,184,3278.09
2806,3982,234,114.16
2882,2692,290,85123.95
1658,6107,223,162.91
302,5354,289,5813.76
184,4327,172,3034.21
483,1896,266,809.34
1939,5235,203,42.4
2636,3324,132,1678.27
12,2087,140,438.17
612,5288,219,1310.3
2255,629,25,1025.87
2603,2874,274,729.76
2726,6119,44,83.64
2495,5655,256,122.58
2648,4372,156,3113.36
2584,2803,158,21207.98
1409,1389,140,219.23
2348,5329,284,5943.94
1808,1645,159,111.96
1509,284,35,118.85
2269,4553,57,314.76
2892,2961,81,1667.07
1434,345,243,49.58
819,4896,126,234.38
1514,1264,107,72.88
729,5379,240,5392.36
1007,4568,291,641.99
1917,1791,194,144.03
2676,1139,105,12.6
591,2555,231,24623.93
1000,5139,186,10412.99
1674,4090,245,369.2
2215,235,273,131.23
1272,5374,299,2017.7
2612,5430,103,327.63
163,1730,114,6565.69
42,2206,90,305.3
228,146,229,129.59
2194,1673,219,361.35
2237,276,288,99.31
630,1382,169,250.68
1117,3957,235,15099.6
804,4545,46,424.84
1036,4692,291,100.38
1600,97,133,130.69
391,4463,71,1037.93
1932,3832,252,6105.67
2167,481,81,43.93
1321,4635,223,255.89
189,5116,290,31923.97
946,683,172,1099.41
1192,2916,277,3691.88
849,5496,269,258.49
824,4774,29,149.91
1385,2176,43,301.03
1019,667,194,2850.81
1990,26,77,225.98
298,2046,191,85.56
295,4928,204,182.72
1467,5473,51,340.43
410,352,67,112.09
1088,1144,214,67.96
1320,5474,83,439.58
2803,4565,51,274.32
2760,94,46,240.97
2407,4153,117,2385.43
2185,4582,21,519.2
2546,2548,45,67118.08
1575,4564,91,172.54
2884,5816,135,90.45
2100,4665,31,24.41
1830,3186,103,1028.05
310,5859,169,2469.76
2332,595,70,666.65
1938,5562,206,90.16
2806,5883,84,2522.08
1644,5656,232,300.34
668,26,201,229.45
1622,3947,179,5030.85
1534,2288,81,719.23
160,4622,140,18.84
381,2526,134,20530.15
1190,3089,293,5987.13
918,3828,253,8662.71
519,4058,278,609.91
2590,2435,28,46528.6
2205,3894,200,4213.06
1088,5374,103,1850.87
216,905,293,317.7
1406,5584,45,56.66
1263,1116,174,96.04
132,2989,182,63718.1
92,6001,174,892.24
2428,3315,32,808.15
996,4689,77,84.15
1369,252,172,96.88
2961,6056,215,1570.42
1863,1957,84,47961.4
491,5506,33,3660.18
1809,4989,52,3676.77
2389,1466,91,485.65
2981,588,286,64.16
2737,6247,249,250.92
81,635,165,3088.35
2693,1129,57,9.6
2244,2709,277,28780.38
1002,5414,63,1132.35
