name,category_id,brand_id,unit_id,price,gst,cost_price,description
Shampoo 340ml,6,30,10,300,5,210,Himalaya Shampoo for skin & hair care
Conditioner 80ml,6,30,10,112,5,78,Himalaya Conditioner for skin & hair care
Conditioner 180ml,6,30,10,196,5,137,Himalaya Conditioner for skin & hair care
Conditioner 300ml,6,30,10,280,5,196,Himalaya Conditioner for skin & hair care
Body Lotion 100ml,6,30,10,160,5,112,Himalaya Body Lotion for skin & hair care
Body Lotion 200ml,6,30,10,400,5,280,Himalaya Body Lotion for skin & hair care
Body Lotion 400ml,6,30,10,400,5,280,Himalaya Body Lotion for skin & hair care
Face Wash 50ml,6,30,10,250,5,175,Himalaya Face Wash for skin & hair care
Face Wash 100ml,6,30,10,100,5,70,Himalaya Face Wash for skin & hair care
Face Wash 150ml,6,30,10,250,5,175,Himalaya Face Wash for skin & hair care
Hair Oil 50ml,6,30,10,200,5,140,Himalaya Hair Oil for skin & hair care
Hair Oil 100ml,6,30,10,80,5,56,Himalaya Hair Oil for skin & hair care
Hair Oil 200ml,6,30,10,200,5,140,Himalaya Hair Oil for skin & hair care
Anti Dandruff Shampoo 80ml,6,30,10,140,5,98,Himalaya Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 180ml,6,30,10,244,5,170,Himalaya Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 340ml,6,30,10,350,5,244,Himalaya Anti Dandruff Shampoo for skin & hair care
Serum 30ml,6,30,10,330,5,230,Himalaya Serum for skin & hair care
Serum 50ml,6,30,10,550,5,385,Himalaya Serum for skin & hair care
Sunscreen 50ml,6,30,10,400,5,280,Himalaya Sunscreen for skin & hair care
Handwash 200ml,6,30,10,180,5,125,Himalaya Handwash for skin & hair care
Body Wash 250ml,6,30,10,350,5,244,Himalaya Body Wash for skin & hair care
Liquid Handwash 125ml,5,31,10,60,18,45,Dettol high quality liquid handwash suitable for daily personal hygiene.
Liquid Handwash 250ml,5,31,10,120,18,90,Dettol high quality liquid handwash suitable for daily personal hygiene.
Liquid Handwash 500ml,5,31,10,240,18,180,Dettol high quality liquid handwash suitable for daily personal hygiene.
Shampoo 80ml,6,31,10,120,5,84,Dettol Shampoo for skin & hair care
Shampoo 180ml,6,31,10,210,5,147,Dettol Shampoo for skin & hair care
Shampoo 340ml,6,31,10,300,5,210,Dettol Shampoo for skin & hair care
Conditioner 80ml,6,31,10,112,5,78,Dettol Conditioner for skin & hair care
Conditioner 180ml,6,31,10,196,5,137,Dettol Conditioner for skin & hair care
Conditioner 300ml,6,31,10,280,5,196,Dettol Conditioner for skin & hair care
Body Lotion 100ml,6,31,10,160,5,112,Dettol Body Lotion for skin & hair care
Body Lotion 200ml,6,31,10,400,5,280,Dettol Body Lotion for skin & hair care
Body Lotion 400ml,6,31,10,400,5,280,Dettol Body Lotion for skin & hair care
Face Wash 50ml,6,31,10,250,5,175,Dettol Face Wash for skin & hair care
Face Wash 100ml,6,31,10,100,5,70,Dettol Face Wash for skin & hair care
Face Wash 150ml,6,31,10,250,5,175,Dettol Face Wash for skin & hair care
Hair Oil 50ml,6,31,10,200,5,140,Dettol Hair Oil for skin & hair care
Hair Oil 100ml,6,31,10,80,5,56,Dettol Hair Oil for skin & hair care
Hair Oil 200ml,6,31,10,200,5,140,Dettol Hair Oil for skin & hair care
Anti Dandruff Shampoo 80ml,6,31,10,140,5,98,Dettol Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 180ml,6,31,10,244,5,170,Dettol Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 340ml,6,31,10,350,5,244,Dettol Anti Dandruff Shampoo for skin & hair care
Serum 30ml,6,31,10,330,5,230,Dettol Serum for skin & hair care
Serum 50ml,6,31,10,550,5,385,Dettol Serum for skin & hair care
Sunscreen 50ml,6,31,10,400,5,280,Dettol Sunscreen for skin & hair care
Handwash 200ml,6,31,10,180,5,125,Dettol Handwash for skin & hair care
Body Wash 250ml,6,31,10,350,5,244,Dettol Body Wash for skin & hair care
Ayurvedic Tonic 100ml,7,31,10,80,12,60,Dettol trusted healthcare product for wellness and immunity support.
Ayurvedic Tonic 200ml,7,31,10,160,12,120,Dettol trusted healthcare product for wellness and immunity support.
Ayurvedic Tonic 400ml,7,31,10,320,12,240,Dettol trusted healthcare product for wellness and immunity support.
Ayurvedic Tonic 800ml,7,31,10,640,12,480,Dettol trusted healthcare product for wellness and immunity support.
Cough Syrup 50ml,7,31,10,60,12,45,Dettol trusted healthcare product for wellness and immunity support.
Cough Syrup 100ml,7,31,10,120,12,90,Dettol trusted healthcare product for wellness and immunity support.
Cough Syrup 200ml,7,31,10,240,12,180,Dettol trusted healthcare product for wellness and immunity support.
Cough Syrup 500ml,7,31,10,600,12,450,Dettol trusted healthcare product for wellness and immunity support.
Bathroom Cleaner 500ml,10,31,10,140,18,100,Bathroom cleaner
Bathroom Cleaner Fresh 500ml,10,31,10,155,18,110,Fresh bathroom cleaner
Bathroom Cleaner Max 500ml,10,31,10,170,18,120,Max bathroom clean
Bathroom Cleaner Strong 500ml,10,31,10,150,18,105,Bathroom disinfectant
Carpet Cleaner 500ml,10,31,10,160,18,115,Carpet cleaner
Disinfectant Liquid 500ml,10,31,10,130,18,95,Liquid disinfectant
Disinfectant Spray 250ml,10,31,10,125,18,85,Surface disinfectant
Disinfectant Spray 450ml,10,31,10,170,18,120,Strong disinfectant
Disinfectant Spray Fresh 250ml,10,31,10,130,18,90,Fresh disinfectant
Disinfectant Spray Fresh 450ml,10,31,10,210,18,150,Long-lasting disinfectant
Glass Cleaner 500ml,10,31,10,130,18,90,Glass surface cleaner
Glass Cleaner Shine 500ml,10,31,10,145,18,100,Streak-free shine
Glass Cleaner Spray 500ml,10,31,10,135,18,95,Spray glass cleaner
Hand Wash Refill 500ml,10,31,10,120,18,85,Handwash refill
Kitchen Cleaner 500ml,10,31,10,135,18,95,Kitchen surface cleaner
Kitchen Cleaner Herbal 500ml,10,31,10,170,18,120,Herbal degreaser
Kitchen Degreaser 500ml,10,31,10,160,18,115,Grease remover
Kitchen Degreaser Max 500ml,10,31,10,175,18,125,Max degreaser
Room Disinfectant Citrus 250ml,10,31,10,165,18,115,Citrus spray
Room Disinfectant Citrus 450ml,10,31,10,255,18,190,Strong spray
Room Disinfectant Spray 250ml,10,31,10,155,18,110,Air disinfectant
Room Disinfectant Spray 450ml,10,31,10,240,18,180,Large spray
Surface Disinfectant 500ml,10,31,10,155,18,110,Surface disinfectant
Surface Sanitizer 500ml,10,31,10,175,18,125,Surface sanitizer
Handwash 125ml,5,32,10,60,18,45,Lifebuoy high quality handwash suitable for daily personal hygiene.
Handwash 250ml,5,32,10,120,18,90,Lifebuoy high quality handwash suitable for daily personal hygiene.
Handwash 500ml,5,32,10,240,18,180,Lifebuoy high quality handwash suitable for daily personal hygiene.
Shampoo 80ml,6,32,10,120,5,84,Lifebuoy Shampoo for skin & hair care
Shampoo 180ml,6,32,10,210,5,147,Lifebuoy Shampoo for skin & hair care
Shampoo 340ml,6,32,10,300,5,210,Lifebuoy Shampoo for skin & hair care
Conditioner 80ml,6,32,10,112,5,78,Lifebuoy Conditioner for skin & hair care
Conditioner 180ml,6,32,10,196,5,137,Lifebuoy Conditioner for skin & hair care
Conditioner 300ml,6,32,10,280,5,196,Lifebuoy Conditioner for skin & hair care
Body Lotion 100ml,6,32,10,160,5,112,Lifebuoy Body Lotion for skin & hair care
Body Lotion 200ml,6,32,10,400,5,280,Lifebuoy Body Lotion for skin & hair care
Body Lotion 400ml,6,32,10,400,5,280,Lifebuoy Body Lotion for skin & hair care
Face Wash 50ml,6,32,10,250,5,175,Lifebuoy Face Wash for skin & hair care
Face Wash 100ml,6,32,10,100,5,70,Lifebuoy Face Wash for skin & hair care
Face Wash 150ml,6,32,10,250,5,175,Lifebuoy Face Wash for skin & hair care
Hair Oil 50ml,6,32,10,200,5,140,Lifebuoy Hair Oil for skin & hair care
Hair Oil 100ml,6,32,10,80,5,56,Lifebuoy Hair Oil for skin & hair care
Hair Oil 200ml,6,32,10,200,5,140,Lifebuoy Hair Oil for skin & hair care
Anti Dandruff Shampoo 80ml,6,32,10,140,5,98,Lifebuoy Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 180ml,6,32,10,244,5,170,Lifebuoy Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 340ml,6,32,10,350,5,244,Lifebuoy Anti Dandruff Shampoo for skin & hair care
Serum 30ml,6,32,10,330,5,230,Lifebuoy Serum for skin & hair care
Serum 50ml,6,32,10,550,5,385,Lifebuoy Serum for skin & hair care
Sunscreen 50ml,6,32,10,400,5,280,Lifebuoy Sunscreen for skin & hair care
Handwash 200ml,6,32,10,180,5,125,Lifebuoy Handwash for skin & hair care
Body Wash 250ml,6,32,10,350,5,244,Lifebuoy Body Wash for skin & hair care
Ayurvedic Tonic 100ml,7,32,10,80,12,60,Lifebuoy trusted healthcare product for wellness and immunity support.
Ayurvedic Tonic 200ml,7,32,10,160,12,120,Lifebuoy trusted healthcare product for wellness and immunity support.
Ayurvedic Tonic 400ml,7,32,10,320,12,240,Lifebuoy trusted healthcare product for wellness and immunity support.
Ayurvedic Tonic 800ml,7,32,10,640,12,480,Lifebuoy trusted healthcare product for wellness and immunity support.
Cough Syrup 50ml,7,32,10,60,12,45,Lifebuoy trusted healthcare product for wellness and immunity support.
Cough Syrup 100ml,7,32,10,120,12,90,Lifebuoy trusted healthcare product for wellness and immunity support.
Cough Syrup 200ml,7,32,10,240,12,180,Lifebuoy trusted healthcare product for wellness and immunity support.
Cough Syrup 500ml,7,32,10,600,12,450,Lifebuoy trusted healthcare product for wellness and immunity support.
Shampoo 80ml,6,33,10,120,5,84,ClinicPlus Shampoo for skin & hair care
Shampoo 180ml,6,33,10,210,5,147,ClinicPlus Shampoo for skin & hair care
Shampoo 340ml,6,33,10,300,5,210,ClinicPlus Shampoo for skin & hair care
Conditioner 80ml,6,33,10,112,5,78,ClinicPlus Conditioner for skin & hair care
Conditioner 180ml,6,33,10,196,5,137,ClinicPlus Conditioner for skin & hair care
Conditioner 300ml,6,33,10,280,5,196,ClinicPlus Conditioner for skin & hair care
Body Lotion 100ml,6,33,10,160,5,112,ClinicPlus Body Lotion for skin & hair care
Body Lotion 200ml,6,33,10,400,5,280,ClinicPlus Body Lotion for skin & hair care
Body Lotion 400ml,6,33,10,400,5,280,ClinicPlus Body Lotion for skin & hair care
Face Wash 50ml,6,33,10,250,5,175,ClinicPlus Face Wash for skin & hair care
Face Wash 100ml,6,33,10,100,5,70,ClinicPlus Face Wash for skin & hair care
Face Wash 150ml,6,33,10,250,5,175,ClinicPlus Face Wash for skin & hair care
Hair Oil 50ml,6,33,10,200,5,140,ClinicPlus Hair Oil for skin & hair care
Hair Oil 100ml,6,33,10,80,5,56,ClinicPlus Hair Oil for skin & hair care
Hair Oil 200ml,6,33,10,200,5,140,ClinicPlus Hair Oil for skin & hair care
Anti Dandruff Shampoo 80ml,6,33,10,140,5,98,ClinicPlus Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 180ml,6,33,10,244,5,170,ClinicPlus Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 340ml,6,33,10,350,5,244,ClinicPlus Anti Dandruff Shampoo for skin & hair care
Serum 30ml,6,33,10,330,5,230,ClinicPlus Serum for skin & hair care
Serum 50ml,6,33,10,550,5,385,ClinicPlus Serum for skin & hair care
Sunscreen 50ml,6,33,10,400,5,280,ClinicPlus Sunscreen for skin & hair care
Handwash 200ml,6,33,10,180,5,125,ClinicPlus Handwash for skin & hair care
Body Wash 250ml,6,33,10,350,5,244,ClinicPlus Body Wash for skin & hair care
Shampoo 80ml,6,34,10,120,5,84,HeadAndShoulders Shampoo for skin & hair care
Shampoo 180ml,6,34,10,210,5,147,HeadAndShoulders Shampoo for skin & hair care
Shampoo 340ml,6,34,10,300,5,210,HeadAndShoulders Shampoo for skin & hair care
Conditioner 80ml,6,34,10,112,5,78,HeadAndShoulders Conditioner for skin & hair care
Conditioner 180ml,6,34,10,196,5,137,HeadAndShoulders Conditioner for skin & hair care
Conditioner 300ml,6,34,10,280,5,196,HeadAndShoulders Conditioner for skin & hair care
Body Lotion 100ml,6,34,10,160,5,112,HeadAndShoulders Body Lotion for skin & hair care
Body Lotion 200ml,6,34,10,400,5,280,HeadAndShoulders Body Lotion for skin & hair care
Body Lotion 400ml,6,34,10,400,5,280,HeadAndShoulders Body Lotion for skin & hair care
Face Wash 50ml,6,34,10,250,5,175,HeadAndShoulders Face Wash for skin & hair care
Face Wash 100ml,6,34,10,100,5,70,HeadAndShoulders Face Wash for skin & hair care
Face Wash 150ml,6,34,10,250,5,175,HeadAndShoulders Face Wash for skin & hair care
Hair Oil 50ml,6,34,10,200,5,140,HeadAndShoulders Hair Oil for skin & hair care
Hair Oil 100ml,6,34,10,80,5,56,HeadAndShoulders Hair Oil for skin & hair care
Hair Oil 200ml,6,34,10,200,5,140,HeadAndShoulders Hair Oil for skin & hair care
Anti Dandruff Shampoo 80ml,6,34,10,140,5,98,HeadAndShoulders Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 180ml,6,34,10,244,5,170,HeadAndShoulders Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 340ml,6,34,10,350,5,244,HeadAndShoulders Anti Dandruff Shampoo for skin & hair care
Serum 30ml,6,34,10,330,5,230,HeadAndShoulders Serum for skin & hair care
Serum 50ml,6,34,10,550,5,385,HeadAndShoulders Serum for skin & hair care
Sunscreen 50ml,6,34,10,400,5,280,HeadAndShoulders Sunscreen for skin & hair care
Body Wash 125ml,5,37,10,110,18,82.5,Nivea high quality body wash suitable for daily personal hygiene.
Body Wash 250ml,5,37,10,220,18,165,Nivea high quality body wash suitable for daily personal hygiene.
Body Wash 500ml,5,37,10,440,18,330,Nivea high quality body wash suitable for daily personal hygiene.
Baby Shampoo 100ml,8,45,10,95,18,70,No-tears baby shampoo
Baby Shampoo 200ml,8,45,10,175,18,130,Mild gentle shampoo
Baby Shampoo 500ml,8,45,10,310,18,250,Large pack shampoo
Baby Lotion 100ml,8,45,10,115,18,85,Moisturizing baby lotion
Baby Cologne 50ml,8,45,10,160,18,110,Refreshing baby cologne
Baby Hair Oil 100ml,8,45,10,105,18,75,Gentle baby hair oil
Baby Bath 100ml,8,45,10,115,18,80,Baby bath liquid
Baby Bath 200ml,8,45,10,195,18,145,Gentle bath wash
Baby Milk Lotion 200ml,8,45,10,215,18,160,Milk lotion
Baby Skin Oil 200ml,8,45,10,210,18,150,Soft skin oil
Baby Massage Oil 200ml,8,45,10,195,18,145,Massage oil
Baby Bottle Cleanser 500ml,8,45,10,195,18,140,Bottle cleansing liquid
Baby Feeding Bottle 125ml,8,45,10,170,18,120,Baby feeding bottle
Baby Feeding Bottle 250ml,8,45,10,210,18,160,Large bottle
Baby Feeder Sipper 200ml,8,45,10,135,18,95,Training sipper
Baby Training Cup 250ml,8,45,10,150,18,105,Training cup
Baby Lotion 200ml,8,45,10,200,18,150,Daily baby lotion
Baby Oil 100ml,8,45,10,105,18,75,Baby massage oil
Baby Oil 200ml,8,45,10,190,18,140,Mild baby oil
Baby Shampoo Chamomile 200ml,8,45,10,180,18,135,Chamomile shampoo
Baby Lotion Calming 200ml,8,45,10,195,18,145,Calming lotion
Pet Shampoo 250ml,9,47,10,175,18,131.25,Pedigree premium quality pet shampoo suitable for pet health and care.
Pet Shampoo 500ml,9,47,10,350,18,262.5,Pedigree premium quality pet shampoo suitable for pet health and care.
Pet Shampoo 250ml,9,48,10,175,18,131.25,Whiskas premium quality pet shampoo suitable for pet health and care.
Pet Shampoo 500ml,9,48,10,350,18,262.5,Whiskas premium quality pet shampoo suitable for pet health and care.
Fabric Softener 500ml,10,49,10,155,18,110,Fabric conditioner
Laundry Whitener 500ml,10,49,10,160,18,115,Fabric whitener
Stain Remover 500ml,10,49,10,175,18,125,Fabric stain remover
Liquid Detergent 500ml,11,49,10,110,18,82.5,SurfExcel high efficiency liquid detergent for household cleaning and laundry needs.
Liquid Detergent 4L,11,49,10,880,18,660,SurfExcel high efficiency liquid detergent for household cleaning and laundry needs.
Dishwash Liquid 250ml,11,49,10,60,18,45,SurfExcel high efficiency dishwash liquid for household cleaning and laundry needs.
Dishwash Liquid 500ml,11,49,10,120,18,90,SurfExcel high efficiency dishwash liquid for household cleaning and laundry needs.
Toilet Cleaner 250ml,11,49,10,55,18,41.25,SurfExcel high efficiency toilet cleaner for household cleaning and laundry needs.
Toilet Cleaner 500ml,11,49,10,110,18,82.5,SurfExcel high efficiency toilet cleaner for household cleaning and laundry needs.
Floor Cleaner 500ml,11,49,10,70,18,52.5,SurfExcel high efficiency floor cleaner for household cleaning and laundry needs.
Glass Cleaner 250ml,11,49,10,65,18,48.75,SurfExcel high efficiency glass cleaner for household cleaning and laundry needs.
Glass Cleaner 500ml,11,49,10,130,18,97.5,SurfExcel high efficiency glass cleaner for household cleaning and laundry needs.
Fabric Softener 500ml,10,50,10,150,18,105,Cloth softener
Laundry Whitener 500ml,10,50,10,155,18,110,Cloth whitener
Stain Remover 500ml,10,50,10,170,18,120,Laundry stain remover
Liquid Detergent 500ml,11,50,10,110,18,82.5,Ariel high efficiency liquid detergent for household cleaning and laundry needs.
Liquid Detergent 4L,11,50,10,880,18,660,Ariel high efficiency liquid detergent for household cleaning and laundry needs.
Dishwash Liquid 250ml,11,50,10,60,18,45,Ariel high efficiency dishwash liquid for household cleaning and laundry needs.
Dishwash Liquid 500ml,11,50,10,120,18,90,Ariel high efficiency dishwash liquid for household cleaning and laundry needs.
Toilet Cleaner 250ml,11,50,10,55,18,41.25,Ariel high efficiency toilet cleaner for household cleaning and laundry needs.
Toilet Cleaner 500ml,11,50,10,110,18,82.5,Ariel high efficiency toilet cleaner for household cleaning and laundry needs.
Floor Cleaner 500ml,11,50,10,70,18,52.5,Ariel high efficiency floor cleaner for household cleaning and laundry needs.
Glass Cleaner 250ml,11,50,10,65,18,48.75,Ariel high efficiency glass cleaner for household cleaning and laundry needs.
Glass Cleaner 500ml,11,50,10,130,18,97.5,Ariel high efficiency glass cleaner for household cleaning and laundry needs.
Dishwash Gel 500ml,10,51,10,105,18,75,Dishwash gel
Dishwash Gel Herbal 500ml,10,51,10,120,18,85,Herbal gel
Dishwash Gel Lemon 500ml,10,51,10,110,18,78,Lemon dish gel
Dishwash Gel Power 500ml,10,51,10,110,18,80,Power gel
Dishwash Liquid 250ml,10,51,10,65,18,45,Small dishwash liquid
Dishwash Liquid 500ml,10,51,10,100,18,70,Dishwashing liquid
Dishwash Liquid Active 500ml,10,51,10,105,18,75,Active grease removal
Dishwash Liquid Extra 500ml,10,51,10,115,18,82,Extra grease removal
Sink Cleaner 500ml,10,51,10,100,18,70,Sink cleaning liquid
Sink Cleaner Herbal 500ml,10,51,10,110,18,75,Herbal sink cleaner
Liquid Detergent 500ml,11,51,10,110,18,82.5,Vim high efficiency liquid detergent for household cleaning and laundry needs.
Liquid Detergent 4L,11,51,10,880,18,660,Vim high efficiency liquid detergent for household cleaning and laundry needs.
Dishwash Liquid 250ml,11,51,10,60,18,45,Vim high efficiency dishwash liquid for household cleaning and laundry needs.
